"genes","RA1","RA2","RA3","RA4","RA5","RA6","RA7","RA8","RA9","RA10","RA11","RA12","C1","C2","C3","C4","C5","C6","C7","C8","C9"
"g-12",599.8,430.7,1086.9,861.4,310.7,1081.1,1585.4,1873.2,1242.3,470.8,1143.7,1380.4,770.1,460.6,379.5,905.3,732.4,475.1,801.2,814.9,1040.5
"g-13",400.6,253.6,497.1,524.5,158.8,336.6,243.3,377.6,510.8,346.4,516.9,599.2,261.2,207.6,123.4,803.2,320,191.9,182.4,218.5,184.1
"g-14",457.6,558.5,589.1,499.5,134.5,289.1,261.9,208.6,379.2,417.5,326.7,401.9,243.9,302.8,209.4,205.7,170.4,185.3,332.3,195,401.2
"g-15",103,303.2,85.2,59.4,604.1,102.5,138.6,112.3,132.7,388.3,77.6,99.6,101,111.8,167.9,36.9,87.6,232.4,110.8,124.6,101.7
"g-16",3061.8,1917.7,5678.3,4469,2052.3,3704.2,3969.3,4548.8,4700.5,3224.7,4277.6,3787.3,2041.4,3119.9,1383.1,981.3,1367.7,2674.6,3366.4,3386.1,3208.5
"g-17",3134.4,1518.1,2972.7,4094.4,1394.7,3644.7,5213.6,4077.1,4206.4,1717.8,5074.8,3208.1,1768.4,3221.4,1136.2,1936,1930.6,2397.3,2116.2,1899.2,2482.1
"g-18",69,99.5,180.9,173.9,68.7,287,151.4,79,56.1,354.2,110.6,248.3,358.3,50.7,33.6,26.6,31.1,295.5,31.5,40.7,6.4
"g-19",725,393.7,889,1199.1,481.3,1021.5,692.4,1527.7,1249.6,459.8,949.9,1319.4,328,832.4,119,447.4,332.3,577,684.4,871.2,779.8
"g-20",1002.7,1908.4,1518.9,1762,937.2,2555.2,1889.8,5159,1905.6,1687.5,3756.8,5744,997.3,1747.5,882.2,1415.1,2099.1,1012.1,1493.5,1288.4,2397.2
"g-21",519.5,415.5,552.9,1094.9,307.1,765.2,1166.4,1237.6,999.4,419.9,949.5,824.4,356.6,538.1,190.6,1068.2,203.9,450.8,494.6,418.2,392.8
"g-22",194.6,99.9,205.7,93.2,104.6,170.1,378.7,331.6,268.4,20.8,113.4,212.1,57.6,68.6,57,189.9,71.1,108.7,189.1,188,40.6
